items,item_order_cnt,often_purchased,rare_purchased,support,1_freq_confidence,2_freq_confidence,3_freq_confidence
Julia RW Skinny Denim TRS,36723,"['Luna skinny RW', 'Madison skinny HW (1)', 'Julia Denim RW TRS']","['Bandit Babe Swimsuit', 'Palermo Braziian Aster 2pkt', 'Glossy Sandal']",0.006831530219610546,0.10042752498434224,0.05111238188601149,0.048116983906543585
Despacito,34584,"['Despacito 1', 'Jade HW Skinny Denim TRS', 'Gyda- (1)']","['Timeless MR Tie Tanga(1)', 'CITRINE DRESS', 'LS Emmy Tanga']",0.006433614931106149,0.035421003932454315,0.027556095304186908,0.025763358778625955
Hazelnut Push Melbourne,34274,"['Hazelnut Brazilian Acacia Low', 'Charlotte Brazilian Aza.Low 2p', 'Fissa Push Melbourne']","['Minja 2.0', 'Roy Shorts', 'Molly Twill TRS']",0.0063759460487142075,0.08942638734901091,0.06897356596837252,0.030489583941179902
Kanta slacks RW,33569,"['Milk RW slacks', 'Primo slacks', 'Kanta slacks']","['Ohlsson', 'New Girl Cheeky Tanga', 'Scary spice cheeky highwaist']",0.006244795848435759,0.027942446900414072,0.027823289344335547,0.022788882600017872
Mariette Blazer,32621,"['Lucy blouse', 'Pluto RW slacks (1)', 'Rebecca or Delphine shirt']","['Jackie cable vest', 'MANDY RW biker', 'Drizzle wide cropped']",0.006068440685508145,0.037123325465191134,0.034088470617087155,0.028509242512491952
SUPREME tights,32515,"['KARIN sports bra', 'DEXTER TANK', 'HAVANA tights']","['Dusk Padded T-shirt', 'Janita', 'Alison']",0.0060487216483031585,0.042103644471782255,0.03761340919575581,0.02894048900507458
Lazer Razer Brief,32321,"['Lazer Razer Adj. push triangle', 'Timeless Midrise Brief', 'Lazer Razer Sport Top']","['Lee long parka', 'Smith HW wide full', 'DIV Tess tee']",0.006012632089644976,0.2508585749203304,0.20355187030104266,0.13879521054422822
New Girl Push Top,31626,"['New Girl Wide Side Tanga', 'Simple as that Cheeky Tanga', 'Simple as That Triangle Top']","['Teddy turtleneck', '200 den 1p Tights', 'Pirate Leggings (1)']",0.0058833421758953,0.3289698349459306,0.23695693416808955,0.196578764307848
RICHIE HOOD,31481,"['RONNY REG RN T-SHIRT', 'Becka hoodie', 'Jade HW Skinny Denim TRS']","['Nicky', 'Rexona mini skirt', 'Ronja Dress']",0.0058563680212281016,0.022330929767161146,0.020520313840094024,0.01978971443092659
Therese tee,30489,"['Antonia heavy t-shirt', 'Cat Tee.', 'Tilda tank']","['40 den 2p Tights', 'Buzz SP Bralette', 'Despacito (1)']",0.005671827597573889,0.03981763914854538,0.03788251500541179,0.03702974843386139
Becka hoodie,30304,"['Queen Sweater', 'Cat Tee.', 'Basic sweatpants']","['Palermo Braziian Aster 2pkt', 'Class Ritva earring', 'Boyfriend Shorts']",0.005637412296791601,0.03771779303062302,0.03768479408658923,0.029237064413938755
Perrie Slim Mom Denim TRS,30281,"['Mom Fit Ultra HW', 'Beverly HW Loose Mom Fit Dnm', 'Perrie Trash HW Denim TRS']","['Gold Coast Highwaist', 'Hubba Bubba push triangle', 'Basic Gigi necklace']",0.005633133637775425,0.05518311812687824,0.0529374855519963,0.04382285921865196
Scallop 5p Socks,29441,"['3p Sneaker Socks', 'Luna skinny RW', 'Moa tank']","['FF PI Haley dress', 'Bunny Button Tank', 'Mom HW Shorts']",0.005476869569358551,0.026493665296695085,0.01837573451988723,0.0154546380897388
Lucy blouse,28381,"['Jade HW Skinny Denim TRS', 'Mariette Blazer', 'Primo slacks']","['Jan tee', 'Ring Ring Triangle Top', 'Kia']",0.0052796791973086865,0.04263415665409957,0.0400972481589796,0.0400267784785596
HAVANA HW tights,27718,"['Izzy tee', 'Tory price tee', 'SPEEDY CONSCIOUS TEE']","['Siri Basic Cardigan', 'Jens', 'JESSY SKIRT']",0.005156342200451082,0.04228299300093802,0.03456237823796811,0.034309834764413016
Brit Baby Tee,27590,"['Cat Tee.', 'Jade HW Skinny Denim TRS', 'Tilly (1)']","['Mastiff Essential blazer', 'Tambov', 'Magnolia']",0.005132530532882797,0.049329467198260236,0.044110184849583185,0.034650235592606014
Curvy Jeggings HW Ankle,27174,"['Jade HW Skinny Denim TRS', 'Luna skinny RW', 'Jade Denim TRS']","['Push it Push Bra', 'Scary spice cheeky highwaist', 'Common']",0.005055142613285869,0.09626849194082579,0.043828659748288805,0.040921469051299036
Jade Denim TRS,26729,"['Madison skinny HW (1)', 'Luna skinny RW', 'Julia RW Skinny Denim TRS']","['Fairfax HW slim', 'Ocasio flip flop', 'Glow Cheeky Tanga']",0.004972359862755501,0.07497474652998616,0.05855063788394627,0.04871113771558981
Greta Thong Mynta Low 3p,26362,"['Hazelnut Push Melbourne', 'Ginger Thong Maple Low 3p', 'Greta Ch hipster ctn 3p']","['Ohlsson', 'Yellow', 'Tudor']",0.004904087347149557,0.03634018663227373,0.03326758212578712,0.024618769440861846
Shaping Skinny H.W,26295,"['Jade HW Skinny Denim TRS', 'Shaping Skinny R.W', 'Madison skinny HW (1)']","['Push it Push Bra', 'Tie A Lot Shape Swimsuite', 'Samantha slip skirt']",0.004891623427406783,0.0772770488686062,0.05947898840083666,0.04620650313747861
Melrose,26114,"['Tilly (1)', 'Despacito', 'Jade HW Skinny Denim TRS']","['FF PI Haley dress', 'Asta (1)', 'IZZY loose tee (1)']",0.004857952241236004,0.025963084935283758,0.025235505858926248,0.021789078655127518
Push Up Jegging L.W,25225,"['Julia RW Skinny Denim TRS', 'Jade HW Skinny Denim TRS', 'Luna skinny RW']","['Jackie cable vest', 'Pick Up Top', 'Samantha padded soft bralette']",0.004692572768828146,0.055143706640237856,0.047690782953419227,0.04555004955401387
Tilly,24953,"['Nora T-shirt', 'Cat Tee.', 'Jennifer tee']","['FLORIDA TIGHTS', 'Dame', 'GRETA SKIRT']",0.004641972975245539,0.07233599166432894,0.043762273073377954,0.040516170400352665
Kelso HW fancy,24635,"['Tonia shorts', 'Sibling HW', 'Tiblisi paperwaist tapered']","['Nouvelle 1p Stay Up', 'Sara s/s 2-pack', 'Cassis']",0.00458281586363058,0.05938705094377918,0.04570732697381774,0.03868479805155267
Baraboom (1),24277,"['Jade HW Skinny Denim TRS', 'Matey(1)', 'Cinderella fold']","['ZOLA MID SKIRT', 'Desert Highline Braz. Cheeky', 'JAYA THIN basic belt (W)']",0.0045162176059005315,0.034683033323722044,0.032664662025785725,0.030605099476871112
3p Sneaker Socks,24143,"['7p Basic Shaftless', 'Scallop 5p Socks', 'Tilly (1)']","['Sonja top', 'Leonardo', 'Roy Shorts']",0.0044912897664149826,0.03412997556227478,0.024437725220560823,0.01764486600671002
Moa tank,23377,"['Tilly (1)', 'ESSENTIAL TANKTOP LACE TVP', 'V-neck strap top']","['Morris', 'Orlando C&S padded wire bra', 'IZZY cinched loose tee']",0.004348791818311023,0.041450998845018606,0.035889977328143044,0.03511998973349874
Queen Sweater,23240,"['Jade HW Skinny Denim TRS', 'Becka hoodie', 'Luna skinny RW']","['LS Emmy Padded Triangle Top', 'Pomme tunic', 'Vanilla']",0.004323305892866843,0.04759036144578313,0.04720309810671256,0.031497418244406196
Tess Tee.,23132,"['Cat Tee.', 'Tilly (1)', 'Tilda tank']","['Azalea V5', 'Juno', 'Felix occasion dress']",0.004303214798356102,0.058836244163928755,0.039944665398582054,0.03121217361231195
Gyda!,23098,"['Despacito', 'Jade Denim TRS', 'Isabella']","['Vanessa rib', 'Anthony 3pk basic short trunks', 'Skirt Mini Stretch Edie']",0.004296889824158276,0.0251103991687592,0.02143042687678587,0.018096804918174735
Sirpa Basic TVP,22368,"['Luna skinny RW', 'Flock (1)', 'Bama(1)']","['Cartier (1)', 'Olivia dress', 'Love Shack Cheeky Brief']",0.004161088907557898,0.0477914878397711,0.04457260371959943,0.030981759656652362
Ringo hipbelt,22277,"['TILDA HIP BELT', 'Luna skinny RW', 'Virgo Hip belt']","['Jackie cable vest', 'Uma', 'Hilly Brief 2pk LT']",0.0041441603001460695,0.02307312474749742,0.02028998518651524,0.015397046280917539
Jennifer tee,22161,"['Tilly (1)', 'Luna skinny RW', 'BOULEVARD TEE TVP']","['Disa', 'Beetle Beanie new', 'Solange 5 pkt']",0.004122580976412311,0.033121249041108254,0.02635260141690357,0.025946482559451287
Milk RW slack,22127,"['Primo slacks', 'Luna skinny RW', 'Phillipos']","['Chubba Chubb one shoulder Top', 'Ring Ring Brief', 'Glossy Sandal']",0.004116256002214485,0.07515704795046775,0.056311293894337235,0.04099064491345415
Skinny H.W Ankle Queens,22061,"['Jade HW Skinny Denim TRS', 'Luna skinny RW', 'Madison skinny HW (1)']","['Sunspot Seamless Crop Top', 'My Humps Top', 'Ginseng top']",0.004103978111124588,0.0987262590091111,0.051584243687956124,0.03816690086578124
Chestnut strap top,21951,"['Prima', 'Timeless Midrise Brief', 'Jalin linen(1)']","['Ohlsson', 'Jiminy', 'Superskinny']",0.004083514959308092,0.04450822286000638,0.040408181859596375,0.03863149742608537
Claudine,21828,"['Tilly (1)', 'Cat Tee.', 'Claudine rib']","['Liliana', 'Amalfi', 'Irma sweater']",0.004060633435004193,0.09616089426424776,0.07508704416345978,0.041002382261315744
Timeless Highwaist,21348,"['Simple as That Triangle Top', 'Timeless Midrise Brief', 'Time for Tie Triangle Top']","['Nika vest', 'Lumiere Push Melbourne', 'Babe dress J']",0.0039713396816231225,0.18301480232340267,0.09518456061457747,0.0690462806820311
Gyda blouse,21056,"['Lucy blouse', 'Gyda-', 'Despacito']","['Theron', 'Mermaid Tie Tanga', 'Molly']",0.003917019314982971,0.05547112462006079,0.0390387537993921,0.03804141337386018
PETAR SWEATSHIRT,20942,"['RONNY R-NECK', 'RONNY REG RN T-SHIRT', 'Skinny 5pkt Lowprice']","['Harmony Loose T-Shirt', 'Storm', 'V-neck strap top 2-pack(1)']",0.0038958120485549667,0.047225670900582564,0.04522013179256996,0.019052621526119758
Tiblisi paperwaist tapered,20167,"['Bow HW paperwaist', 'Luna skinny RW', 'Kanta slacks RW']","['Alm Trench', 'Karin mid support bra', 'Karin mid support bra(1)']",0.0037516398425751127,0.0480983785391977,0.038924976446670305,0.035999404968512914
Henry polo (1),20166,"['Flock (1)', 'Cinderella fold', 'Jade HW Skinny Denim TRS']","['Stella treggings (W)', 'Breadwinner Top', 'Pablo round neck']",0.0037514538139222357,0.047009818506396905,0.04373698304076168,0.03986908658137459
Velvet scrunchie,20087,"['7p Basic Shaftless', 'Scallop 5p Socks', 'Tilly (1)']","['Charlotte Soft  Body', 'Titti', 'Nevada']",0.0037367575503449344,0.020809478767361975,0.013341962463284712,0.011300841340170259
Jeggings H.W,19632,"['Jade HW Skinny Denim TRS', 'Luna skinny RW', 'Madison skinny HW (1)']","['Ohlsson', 'Disa', 'Tudor']",0.0036521145132857942,0.12041564792176039,0.05215973920130399,0.04803382233088835
Pamela Shorts HW,18740,"['Khloe RW', 'Timeless Midrise Brief', 'ED Pamela (1)']","['Henry polo. (1)', 'Leonardo', 'Cara top']",0.0034861769549193043,0.06963713980789754,0.0684631803628602,0.06205976520811099
S.Skinny L.W Epic,18498,"['Push Up Jegging L.W', 'Julia RW Skinny Denim TRS', 'Skinny R.W Chic']","['Sunspot Seamless Crop Top', 'DAY seamless ls', 'Sporty Spice PRICE Swimsuit']",0.0034411580209230148,0.14747540274624285,0.08665801708292789,0.05962806789923235
Embrace S.Skinny Ankle H.W,18388,"['Embrace S.Skinny H.W Trash', 'Shaping Skinny H.W', 'Luna skinny RW']","['Rosemary', 'Marielle sandalette', 'LS Charlie  Swimsuit']",0.003420694869106519,0.05063084620404612,0.04758538177072003,0.03736132260169676
Jade Trash HW Skinny Denim TRS,18371,"['Julia RW Skinny Denim TRS', 'Perrie Trash HW Denim TRS', 'Madison skinny HW (1)']","['Izzy loose tee', 'Lauren shorts (J)', 'Love Shack top']",0.003417532382007606,0.039518806815089,0.03440204670404442,0.031734799412116925
Ozzy Denim Shorts,18279,"['Tequila shorts denim/fancy', 'Brooke Shorts R.W', 'Khloe RW']","['Woody hoodie', 'Push Up 30 den 1p Tights', 'Spanx Alot Shape Swimsuit NEW']",0.003400417745942901,0.05574703211335412,0.05443405000273538,0.051425132665900763
Henry polo. (1),17917,"['Flock (1)', 'Jade HW Skinny Denim TRS', 'Luna skinny RW']","['Inga 7p Ct Thong', 'Matcha', 'Valerie Wide Leg trousers']",0.0033330753736013435,0.022548417703856672,0.019925210693754535,0.018529887816040633
Matey,17904,"['Luna skinny RW', 'Bama', 'Gyda!']","['Ginger body', 'Timeless Tanga', 'Bermuda']",0.0033306570011139396,0.03932082216264522,0.036528150134048254,0.02256478999106345
Timeless Triangle Top,17832,"['Tiger Cheeky Brief', 'Timeless Low V Shape Brief', 'Simple as That Triangle Top']","['Harmony Loose T-Shirt', 'Pelican', 'Bristol']",0.003317262938106779,0.1765926424405563,0.16980708838043965,0.1557312696276357
Simone,17687,"['Tilly (1)', 'Jade HW Skinny Denim TRS', 'Brit Baby Tee']","['Emma Roll Neck TVP', 'Annelien Hoodie Dress', 'Ivanovo fluff']",0.0032902887834395803,0.03963362921920054,0.02600780234070221,0.025159721829592356
Mona,17542,"['Pluto RW slacks (1)', 'Tilly (1)', 'Cat Tee.']","['Bandit Babe Swimsuit', 'Lola Lace-Up', 'Rose']",0.003263314628772382,0.04697297913578839,0.04606088245354008,0.04281153802303044
Bama,17425,"['Matey', 'Ridge', 'Janet sweater']","['Lilly Tank (1)', 'Liza Strapless Sofia 2pk', 'Call Me Triangle Top']",0.003241549276385746,0.036671449067431854,0.028809182209469153,0.024160688665710188
Charlotte Brazilian Aza.Low 2p,17355,"['Charlotte SP Andes', 'Hazelnut Brazilian Azalea Low', 'Greta Thong Mynta Low 3p']","['Tilda linen', 'Relaxed Shorts Stretch R.W', 'Vintage Shorts HW Skyler']",0.00322852727068434,0.1121866897147796,0.0449438202247191,0.03140305387496399
ESSENTIAL TANKTOP LACE TVP,17303,"['Vanessa 2-pack', 'Tilly (1)', 'ESSENTIAL TANKTOP LACE']","['Ohlsson', 'Scary Spice Top', 'Julia Denim TRS']",0.003218853780734724,0.04450095359186268,0.037970294168641276,0.03421372016413339
Flock (1),17196,"['Henry polo (1)', 'Son V-neck', 'Flock']","['Timeless MR Tie Tanga(1)', 'DIV Tess tee', 'Smith HW wide full']",0.00319894871487686,0.05303558967201675,0.038555478018143755,0.03343800883926495
Peg,17156,"['Jafar', 'Bama(1)', 'Baraboom (1)']","['Morris', 'Timeless Rem Pads Swimsuit', 'Everlacing Push triangle']",0.003191507568761771,0.04307530892982047,0.040685474469573324,0.03876194917230123
Shaping Skinny R.W.,17105,"['Shaping Skinny H.W', 'Luna skinny RW', 'Julia RW Skinny Denim TRS']","['Ohlsson', 'Pretty Please Cheeky Tanga', 'Acai seamless bra CONSCIOUS']",0.0031820201074650323,0.1581993569131833,0.049693072201110786,0.04296989184448992
Gyda- (1),17083,"['Despacito', 'Lucy blouse', 'Luna skinny RW']","['Steam smock top', 'Becca denim', 'John sunglasses']",0.003177927477101733,0.05531815254931804,0.03442018380846455,0.0320201369782825
Jennifer,17035,"['Luna skinny RW', 'Pluto RW slacks (1)', 'Mariette Blazer']","['Fissa Thong 5pk', '+ Miami Wire bra', 'Tech Stretch Skinny']",0.003168998101763626,0.030055767537422954,0.021896096272380393,0.02054593484003522
Rebecca or Delphine shirt,16912,"['Mariette Blazer', 'Isabella', 'Hayes slim trouser']","['Ohlsson', 'COZY DORRI TOP', 'Barley']",0.0031461165774597268,0.05132450331125828,0.051028855250709555,0.032994323557237464
Mom Fit Ultra HW,16884,"['Perrie Slim Mom Denim TRS', 'Vintage Slim HW ankle consc.', 'Jade HW Skinny Denim TRS']","['Timeless cheeky brief', 'Isabella', 'Velour leggings']",0.003140907775179164,0.11371712864250177,0.07178393745557925,0.059049988154465764
Bow HW paperwaist,16712,"['Luna skinny RW', 'East HW tapered', 'Jade HW Skinny Denim TRS']","['Steam smock top', 'Heart', 'Mira body']",0.0031089108468842805,0.0533748204882719,0.04673288654858784,0.03925323121110579
Calista cardigan.,16476,"['Tilly (1)', 'Flock (1)', 'Luna skinny RW']","['Just for Life Top', 'Spice it Up Triangle', 'Sunny denim skirt GTL']",0.003065008084805254,0.03520271910657927,0.020939548434085943,0.020636076717649915
Basic sweatpants,16451,"['Therese tee', 'Queen Sweater', 'Cat Tee.']","['Bon Jovi follow up', 'Relaxed Shorts Stretch R.W', 'Leonardo']",0.0030603573684833234,0.03166980730654671,0.028995197860312443,0.02777946629384232
Minja top,16405,"['Shenzi LP', 'Jade HW Skinny Denim TRS', 'Luna skinny RW']","['Jasba jersey  shacket', 'Victoria sneaker', 'Vecchio HW palazzo pants']",0.0030518000504509706,0.023468454739408718,0.023346540688814386,0.02029868942395611
Cinderella fold,16275,"['Cinderella', 'Henry polo (1)', 'Baraboom (1)']","['Mac', 'Belle jumpsuit', 'Juan lace strap top']",0.0030276163255769308,0.05493087557603687,0.053763440860215055,0.0447926267281106
Jen tee,16226,"['Cat Tee.', 'Mona', 'Pluto RW slacks (1)']","['Baraboom throw-on', 'Vecchio HW palazzo pants', 'Lyon Highw Brazilian x-cheeky']",0.0030185009215859464,0.058856156785406136,0.03586835942314803,0.03475902871933933
Hayes slim trouser,16080,"['Pluto RW slacks (1)', 'Rebecca or Delphine shirt', 'Lucy blouse']","['LANA seamless HW tigths', 'Calvin Clean wire bra', 'MUFFY v-neck knot tee']",0.0029913407382658706,0.054850746268656714,0.03588308457711443,0.03395522388059701
Nirvana,16053,"['Timeless Midrise Brief', 'Tilly (1)', 'Melrose']","['Morris', 'NEW POLLY BLOUSE', 'Flock']",0.0029863179646381854,0.023609294212919702,0.02248800847193671,0.022425714819659878
Perrie Trash HW Denim TRS,15756,"['Jade HW Skinny Denim TRS', 'Jade Trash HW Skinny Denim TRS', 'Beverly HW Loose Mom Fit Dnm']","['Stork dress', 'Bowy', 'Vanilla Ice Top']",0.0029310674547336477,0.08142929677583143,0.045316070068545315,0.030337649149530337
Timeless Push Triangle(1),15730,"['Timeless Midrise Brief', 'Timeless Cheeky Brief', 'Simple as that Cheeky Tanga']","['Slim 5pkt Lowprice', 'Fancy Minami', 'Yellow']",0.00292623070975884,0.12326764144945963,0.12275905912269548,0.07272727272727272
Charlie Top,15699,"['Nora T-shirt', 'Primo slacks', 'Alpha essential top']","['Inez Dress', 'Vanilla Ice Top', 'MUFFY v-neck knot tee']",0.0029204638215196456,0.023249888527931716,0.02299509522899548,0.020956748837505573
Olga Tank TVP,15573,"['Ozzy Denim Shorts', 'Tilda tank', 'MINT TANK S.0']","['Hubba Bubba V shape brief', 'ERIK 2PK REG TANK TOP', 'Straight Edge 5p Socks']",0.002897024211257115,0.05612277660052655,0.04777499518397226,0.026199190907339628
Skinny R.W Chic,15505,"['Luna skinny RW', 'Skinny Ankle R.W Brooklyn', 'S.Skinny L.W Epic']","['Ohlsson', 'Evie padded softbra 2p', 'Jane Swimsuit']",0.002884374262861463,0.10996452757175104,0.07468558529506611,0.07436310867462109
Milk RW slacks,15435,"['Luna skinny RW', 'Bow HW paperwaist', 'Mocca RW slacks']","['Peacock linen', 'ESSENTIAL SIGNE BOAT NECK', 'REEF RW tights']",0.002871352257160057,0.05701328150307742,0.038224813735017814,0.032329122125040494
Claudine t-shirt,15322,"['Tilly (1)', 'Brody', 'Cat Tee.']","['Jackie cable vest', 'Anita Tank (1)', 'Nevada']",0.0028503310193849296,0.09228560240177522,0.05684636470434669,0.05560631771309229
Charlotte SP Andes,15071,"['Hazelnut Push Melbourne', 'Hazelnut Brazilian Azalea Low', 'Hazelnut Brazilian Acacia Low']","['FF PI Haley dress', 'Melba top', 'Beata aliceband']",0.002803637827512745,0.051688673611571895,0.04193484174905448,0.035564992369451265
Kajsa HW,14951,"['Sibling HW', 'Ozzy Denim Shorts', 'Vivaldi']","['Coachella Push Melbourne', 'Lola Lace-Up', 'Lily Hipster (Poppy) 3pk']",0.0027813143891674773,0.07778743896729316,0.05905959467594141,0.05083272021938332
SIRPA,14796,"['Janet sweater', 'Queen Sweater', 'Luna skinny RW']","['Stina bike shorts HW', 'Paloma Heel', 'Girl next door']",0.0027524799479715064,0.04048391457150581,0.036901865369018655,0.03636117869694512
Calista (1),14621,"['Tilly (1)', 'Luna skinny RW', 'Harrison (1)']","['Aguilera maxidress', 'Phillipos', 'Bubble Bum Bandeau (1)']",0.002719924933717991,0.041857602079201146,0.020108063743929965,0.019492510772177004
Lazer Razer Push Up,14544,"['Timeless Midrise Brief', 'Simple as that Cheeky Tanga', 'Shake it in Balconette']","['Biarritz', 'Raymond fleece', 'Dame']",0.002705600727446444,0.205995599559956,0.08525852585258525,0.0831958195819582
OP Push Melbourne^,14520,"['Hazelnut Push Melbourne', 'OP Brazilian 2p Low (Acacia)', 'Liza Push Melbourne 2pk']","['Freja leggings', 'Rachel or Merry HW Denim TRS', 'Lorentzo flannel shirt']",0.002701136039777391,0.044765840220385676,0.035055096418732785,0.03347107438016529
Amalia,14440,"['Emily', 'Therese tee', 'Tilda tank']","['Satin kimono (W)', 'Trinny', 'Julia Denim Petite Trs 1']",0.002686253747547212,0.044529085872576174,0.02943213296398892,0.027354570637119113
Vintage Slim HW ankle consc.,14388,"['Mom Fit Ultra HW', 'Jade HW Skinny Denim TRS', 'Mom HW Ankle Consc']","['Pinky loose tank (C)', 'Ellen Shortie Daisy Low 3p', 'Molly Twill TRS']",0.002676580257597596,0.07951070336391437,0.06971087016958577,0.05219627467333889
Harrison (1),14290,"['Pluto RW slacks (1)', 'Laura short sleeve polo', 'Primo slacks']","['Clarence back detail Valencia', 'Zorro half-zip sweater', 'Fantastic dress']",0.0026583494496156277,0.04919524142757173,0.0403778866340098,0.036529041287613716
Jafar,14114,"['Luna skinny RW', 'Macy', 'Baraboom (1)']","['Drake', 'Sigge Shorts', 'Basic Endless hoop']",0.002625608406709235,0.04690378347739833,0.0386849936233527,0.03691370270653252
RONNY R-NECK,13936,"['PETAR SWEATSHIRT', 'RICHIE HOOD', 'TAZ LONG RN T-SHIRT']","['Jackie cable vest', 'Rio OPT 2', 'Kelly jumpsuit']",0.002592495306497088,0.06472445464982779,0.030568312284730195,0.026262916188289322
Timeless Sports Top,13881,"['Sweet and Bitter Top', 'Buckle Up Cheeky Brief', 'Sweet & Bitter Mid Tie Brief']","['Timeless Rem Pads Swimsuit', 'KARIN MID SUPPORT BRA', 'Karin padded sport bra']",0.0025822637305888403,0.12643181326993733,0.10114545061594986,0.0812621569051221
Brittany LS,13785,"['Rachel LS TVP', 'Brit Baby Tee', 'Haze LS']","['Alm Trench', 'LS Reggipetto Triangle Top', 'Bowa PQ espadrille']",0.002564404979912626,0.052375770765324625,0.04642727602466449,0.04062386652158143
Sorrel,13753,"['Tilly (1)', 'Nirvana', 'Rose']","['Fletcher', 'My Humps Highwaist', 'Asa top']",0.0025584520630205546,0.02595797280593325,0.023631207736493857,0.021013597033374538
Tove top.,13614,"['Tilly (1)', 'Kelso HW fancy', 'Simone']","['Biarritz', 'Big Dot 1p Tights', 'Chrissie Padded Soft Bra Opt.2']",0.0025325940802706196,0.030997502570882914,0.03048332598795358,0.026516820919641547
Glamping,13566,"['Tilly (1)', 'Pamela Shorts HW', 'Timeless Midrise Brief']","['Cool Bella necklace', 'Snow Chino R.W', 'SPEED Michelle plisse']",0.0025236647049325127,0.05764411027568922,0.04275394368273625,0.03847854931446263
Shaping Skinny R.W,13458,"['Shaping Skinny H.W', 'Push Up Jegging L.W', 'Luna skinny RW']","['Liza Padded Milano 2pk', 'Bengal', 'Patricia']",0.0025035736104217715,0.12973695942933572,0.04985882003269431,0.04978451478674394
